what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1405341644758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405341652570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405341654367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405341657987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341661053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341661976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341662218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341665450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341665549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341666538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341670415
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405341672153
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405341672210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341705776
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405341717603
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405341717604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341720104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341723439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341723580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341727902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405341731789
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405341733434
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405341733489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405343648314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405343650304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405343670652
