what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307777830
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409307779450
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1409307783773
started,bundle,org.eclipse.jst.ejb.ui,1.1.601.v201201261600,"org.eclipse.jst.ejb.ui",1409307799241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307799588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307801200
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1409307801387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307805033
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1409307808216
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307808607
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307808653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307830997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307835311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307836581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307839510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307842182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307844191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307848374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307850275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307852468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307855028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307857595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307858851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307860460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307860570
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409307907065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307907147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307909552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307912077
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307912187
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307912209
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307914718
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307914719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409307918019
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307918019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307920669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307924892
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307924994
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307925051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409307926200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307927464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307969438
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307970352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409307974635
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307974636
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1409307977925
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1409307982584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307984957
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307986611
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409307986653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409307988779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409307990359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409307994117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308002049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308051361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308053241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308109994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308112043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409308114205
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409308114317
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409308114362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409308118745
