what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405435830558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405435831478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405435837785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405435839436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435873399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435874395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435874682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435876525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435876641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435877418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435879607
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405435883442
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405435883503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435913330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435915333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405435939935
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405435941833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405435942158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405435962781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405435966446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436090816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436091693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436091956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436094768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436094873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436096179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436100065
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436101847
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436101908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436234294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405436239323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405436239600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436243470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436336917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405436360968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405436384461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405436389897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436400638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436401600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436401848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436404137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436404240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436405454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436409222
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436410946
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436411003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436479512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436480791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436727777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405436809887
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436809887
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436810777
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436811449
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436811969
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436814530
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436815522
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405436816897
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436818009
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405436819288
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1405436879346
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1405436879354
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1405436879400
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1405436879942
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1405436880041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405436881208
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1405436881803
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405436882558
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405436919459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405436958428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405436969329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405436971906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405436983217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405436985476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436990109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436991227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436991489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436993615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436993721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436994942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405436997934
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405437000716
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405437000814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405437013944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405437016805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405437061743
