what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405662687853
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1405662688458
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1405662696102
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405662696757
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405662696826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405676498218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405676506596
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405676506627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405676509236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678889203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678898319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678908279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678909984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678932409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678934606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405678945677
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1405679008585
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1405679008622
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1405679008641
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1405679012271
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1405679012472
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1405679012619
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1405679012706
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1405679012824
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1405679013088
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1405679013103
