what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405412985863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405412986730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405412990897
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405412992716
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405412992766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405412996019
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405412997669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405412997999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413021110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413179511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405413203328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405413225400
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405413227800
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405413230559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413233888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413234680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413236039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413278905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413298097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413299637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405413310834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413345918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413347190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413347397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413349605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413349700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405413350610
