what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405336851285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336852471
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1405336852576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336852651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336852690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336852987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336861494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336862743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336862786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336866951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336913188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336914939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336915035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336916880
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1405336916947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336920781
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405336922661
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405336922701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336932772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405336934674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405336950267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405336969711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405337208158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405337211354
