what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425712025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425720555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425721387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425749461
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1405425771820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425773420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425783539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425783938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425785005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425785526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425787382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425787494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425788510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425791693
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405425796096
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405425796147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405425804206
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405425829770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405425830105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405425888067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405425899013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405425902163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405425905716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426144556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426202099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426277544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426277779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426293578
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405426327752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426341455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426440979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426446531
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405426452874
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405426472093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426489417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426491324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426533704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426534134
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405426549803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426558755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426642344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1405426673468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405426680809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426749481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426750550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426750848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426752758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426752916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426753794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426758964
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405426761374
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405426761432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426766118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426775272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426814236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426820693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405426823528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426823641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405426823948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426833958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405426835901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405426839379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405426839432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426909849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426910970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426911248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426913126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426913229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426914669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426919605
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405426922337
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405426922390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426931511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426937738
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405426939864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426939956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405426940158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426979807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426980996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426981253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426983615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426983731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426984808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405426988922
