what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405402928265
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405402928313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405402933443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405402934579
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405402934579
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1405402951434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405402959864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405402979630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405402981568
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405402985535
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405402989922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405402996993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403006937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405403014603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403017218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403018635
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1405403023037
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405403023129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405403031906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403033476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403092455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403113753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403121886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405403124543
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405403128894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403140222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403140642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405403143766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403152643
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1405403220079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403250797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405403256292
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405403259805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405403263951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403268670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403294204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403295878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403302761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403304062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403323785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403326580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403332570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403334677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405403564047
