what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405404366963
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405404366964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404371427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404372543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404375136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404386873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405404390589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405404394776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404402133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404403320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404403509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404405553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404405655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404406968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404410548
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405404412333
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405404412380
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405404417256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404417340
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405404417550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404421929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404426325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405404436034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405404442021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405404444333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405404445586
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405404454006
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405404463067
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405404472763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405404484307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405404487422
