what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339037896
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339037896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339039277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339040852
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339045983
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339045983
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339046981
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339048693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339050196
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339051487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339054315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339057634
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1405339057708
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339057765
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339057805
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339064518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339065193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339077223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339078799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339079026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339081010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339081105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339082349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339085947
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339087591
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339087640
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339092744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339093498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339094328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405339099256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339102644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339103832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339104043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339106791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339106887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339108134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339111806
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339113461
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339113513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339118003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339126002
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339127013
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339127244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339129378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339131630
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339131768
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339131808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339138958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339140315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339144310
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339146068
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405339146091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339172068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339175862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339178664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339205417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339206126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339208702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339213170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339218944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339236590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339237446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339675989
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405339677498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405339677763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405339692786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405339699110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339709664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339777833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339780930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339798355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405339803181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339832134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339983654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339986669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339991801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405339997776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340018403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340019636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340025190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340029492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340038231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340045856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340047828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340058530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405340065366
